TID,y,x1,x2,x3,x4,x5,x6,k
325,9,0.837822671,1,0,0.848484848,1,0,3443
326,4,0.848484848,1,0,0.848484848,1,0,3126
327,9,0.748035915,1,1,0.692929293,1,1,3338
328,4,0.757575758,1,1,0.836363636,0,0,3084
329,11,0.745179063,1,1,0.848484848,0,0,3510
330,17,0.734402852,1,1,0.987373737,0,0,3876
331,3,0.831649832,0,0,1,0,0,3239
332,2,0.898989899,0,0,1,0,0,3031
333,1,0.898989899,0,0,1,0,0,3027
334,1,0.898989899,0,0,1,0,0,3228
335,3,0.898989899,0,0,1,0,0,3794
336,5,0.898989899,0,0,1,0,0,3699
337,9,0.87654321,0,0,1,0,0,3744
338,3,0.898989899,0,0,1,0,0,3308
339,7,0.891053391,0,0,1,0,0,3197
340,21,0.898989899,0,0,1,0,0,3209
341,0,1,0,0,1,0,0,3484
342,1,0.898989899,0,0,0.78956229,1,1,3450
343,2,0.898989899,0,0,0.795959596,1,1,3787
344,6,0.883838384,0,0,0.780022447,0,1,4313
