年,月,北海道,青森,岩手,宮城,秋田,山形,福島,茨城,栃木,群馬,埼玉,千葉,東京,神奈川,新潟,富山,石川,福井,山梨,長野,岐阜,静岡,愛知,三重,滋賀,京都,大阪,兵庫,奈良,和歌山,鳥取,島根,岡山,広島,山口,徳島,香川,愛媛,高知,福岡,佐賀,長崎,熊本,大分,宮崎,鹿児島,沖縄
year,month,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47
2016,1,2724880,312390,492670,710840,201960,393130,784470,385570,627390,668650,335610,1587610,4358970,1359160,854860,207250,592260,265580,441310,1558710,456770,1550850,1255210,660660,285650,1127080,2307820,995440,118710,315620,203810,219120,353700,628340,317160,148310,230860,247320,166320,1269110,221660,536560,542270,524330,269820,532650,1472810
2016,2,2850160,341410,483410,733430,203080,439170,781960,389810,571410,652820,324180,1615220,4412480,1399140,864960,229470,657190,285280,446610,1401580,475460,1616410,1239630,639130,307120,1195540,2319240,1075730,128230,306240,214810,221260,366330,657930,340670,150510,256830,281990,186340,1328390,225710,636440,546630,548560,336570,567620,1523340
2016,3,2461730,346700,492520,860360,243210,433250,828640,528310,875250,738930,388500,1999970,5018600,1695310,826490,246870,745430,315130,652150,1327170,544590,1987280,1489520,814510,406050,1513880,2664410,1222490,204620,436530,264710,262820,467180,815590,404400,200040,353130,365110,273950,1486450,265160,724970,640500,666330,329590,665930,1683950
2016,4,1967450,370910,452070,784160,249880,368260,786570,445830,737370,614190,355930,1781990,5018950,1531600,672560,280230,690100,252850,656950,1174860,542780,1691540,1405110,698650,430240,1560910,2559480,1115680,233840,356360,227260,276390,462000,812970,364710,191030,315600,340860,229510,1354060,244740,541480,508980,416900,242920,477740,1535750
2016,5,2580950,443470,508680,794170,312380,434490,791350,461360,876400,695800,349820,1779760,4778220,1522880,745660,327570,755680,286150,692520,1358800,545370,1690420,1339860,824340,426310,1601280,2417270,1125970,252870,369070,247820,299470,470120,818260,404850,208970,313140,366840,261650,1391360,248500,549630,589750,397720,271590,571100,1556890
2016,6,2848940,433360,494780,791380,309230,447440,808250,412670,769030,594110,332680,1629280,4584320,1374030,706490,236050,642090,246990,545040,1094370,444160,1447790,1322540,613620,346880,1473600,2378740,975810,196160,305720,209680,269010,404360,744410,322810,171770,247920,286310,184900,1295260,217860,452880,537080,394100,236670,486150,1628840
2016,7,3479170,506760,520740,842020,319030,483640,864770,494200,945410,737250,382560,1985810,4994250,1608140,920180,299090,707510,329810,969900,1754870,565920,1938460,1478760,804910,434500,1443610,2808630,1211270,238970,420460,275400,314340,483460,875880,378070,222260,328220,366340,252720,1403640,234960,578930,601960,576380,304920,626750,2017390
2016,8,3723560,617240,654070,992560,401510,606530,1121100,641590,1355600,1061120,466300,2387250,5029090,1896510,1319510,461200,971950,496660,1404180,2803120,744080,2775770,1638080,1125890,619580,1668050,3012820,1573830,310620,657380,392760,402190,619130,1074580,512500,292880,451890,448830,368930,1587480,305680,793530,785020,782710,397050,803290,2296080
2016,9,3179770,454630,548480,805580,320070,478800,841390,433250,922750,706880,377210,1720410,4592190,1554130,838120,297640,724640,276410,748270,1497310,487790,1596350,1301560,720630,368320,1421680,2540750,1050010,201190,362170,258230,303470,440010,789870,419540,193540,322630,321270,237030,1310680,252940,615260,638650,618870,293050,610100,1897000
2016,10,2918530,500610,676620,879330,361180,542310,926430,460680,995600,773720,398530,1815110,4934200,1609980,931640,344730,798320,313780,661390,1531190,574510,1639060,1351030,820130,422330,1578490,2724960,1100940,244360,389860,233960,334150,468860,884450,428090,214360,359240,365480,244070,1347180,267940,675740,624050,625640,323320,630750,1860560
2016,11,2174530,368740,474270,800120,264630,423160,850090,475330,876610,687040,379560,1760380,4690490,1573990,751730,255660,774270,337420,601010,1093570,526280,1601630,1361080,787000,431180,1588740,2571260,1144110,221280,388470,244560,327670,433450,816350,396170,212130,331200,369880,240500,1353160,293840,666910,642020,664890,329270,632810,1603930
2016,12,2644810,310210,443130,771140,213730,393610,813800,479870,764010,720660,381960,1818080,5103180,1621210,772460,222720,637050,303120,533590,1209100,476710,1702120,1376420,794990,353060,1476640,2705100,1167390,171170,357620,216450,236670,378660,674010,374930,177350,269250,281120,175700,1349150,261550,611450,618280,635120,308450,597280,1550150
2017,1,2920690,273740,450780,711700,194190,372190,859830,388920,669910,646420,330480,1817210,4518080,1382880,869360,223760,598830,244390,427040,1509490,460010,1477380,1267390,609880,266020,1248790,2454430,1038140,135330,330500,203230,208710,378580,619010,286270,138450,231370,289480,163500,1267920,226680,508810,567030,563720,296790,562180,1583060
2017,2,2910270,293100,418600,724050,190580,423950,836560,410750,626290,636370,334890,1750210,4447830,1352270,888440,241880,615730,254860,420560,1377170,467480,1525400,1233020,575770,269430,1227290,2481100,997690,138570,299780,197440,192880,383830,640360,299150,138870,235660,318180,186480,1287270,217500,563210,584290,558200,375200,602130,1511150
2017,3,2665550,297210,482450,859740,223570,428210,866520,554360,907680,757520,414290,2234380,5144870,1775840,903770,266940,782690,309130,626410,1371770,538310,1914820,1490450,809080,386920,1629300,2925830,1265230,220020,456230,267950,277380,534430,824470,402310,209140,353170,438980,247480,1386350,263810,732480,711920,705710,394420,784320,1819420
2017,4,2120350,378530,439430,773920,237720,354380,806800,440820,734430,607010,377730,1974840,5385090,1605590,645650,309490,713900,243510,599590,1127650,491770,1525870,1447140,647270,412430,1658790,2798910,1103650,271610,390330,212710,250960,476120,846000,362230,190130,310000,386860,212980,1329580,254110,607110,656260,594330,291890,653730,1695930
